site,treatment,GrwSeas,Time,biomassC,TotalSoilN,leafArea,soilPotential,VPD
CAX,Ppti,Y,6205,26173.8482375838,1211.50729704705,4.09057488559965,-0.333358266611738,0.001862361640297
CAX,Ppti,Y,6570,26209.1334617491,1211.16347478445,4.10763912655178,-0.328500776221683,0.001862361640297
CAX,Ppti,Y,6935,26245.2176662412,1210.81699657075,4.12465276504153,-0.323643218836806,0.001862361640297
CAX,Ppti,Y,7300,26282.0554443327,1210.46706484111,4.14149761104712,-0.318774161701985,0.001862361640297
CAX,Ppti,Y,7665,26319.4829408762,1210.11459039128,4.15780336519549,-0.313907469260561,0.001862361640297
CAX,Ppti,Y,8030,26357.3748628635,1209.75935119268,4.17370262035299,-0.309072701118449,0.001862361640297
CAX,Ppti,Y,8395,26395.7070484397,1209.40034605325,4.18938880666192,-0.304273343230211,0.001862361640297
CAX,Ppti,Y,8760,26434.452263356,1209.03718698777,4.20482943669638,-0.299506661450493,0.001862361640297
CAX,Ppti,Y,9125,26473.5892210967,1208.66927591526,4.22013948730995,-0.294770651163747,0.001862361640297
CAX,Ppti,Y,9490,26513.0944025284,1208.29662632797,4.23522732176099,-0.290071612687058,0.001862361640297
CAX,Ppti,Y,9855,26552.951322724,1207.91886564732,4.25021645298691,-0.285421628840665,0.001862361640297
CAX,Ppti,Y,10220,26593.13636381,1207.53637492399,4.26497367093442,-0.2808277841828,0.001862361640297
CAX,Ppti,Y,10585,26633.6254184491,1207.14917956163,4.27959063860766,-0.276293066986216,0.001862361640297
CAX,Ppti,Y,10950,26674.454176706,1206.75716229595,4.29410785836055,-0.27178728671577,0.001862361640297
CAX,Ppti,Y,11315,26715.6546484188,1206.36017449153,4.30865049733011,-0.267286314183228,0.001862361640297
CAX,Ppti,Y,11680,26757.0699558662,1205.96131348724,4.3225204035686,-0.26283322896092,0.001862361640297
CAX,Ppti,Y,12045,26798.527031875,1205.56292417676,4.33563584832866,-0.258402559663696,0.001862361640297
CAX,Ppti,Y,12410,26839.9590895414,1205.16587673716,4.34817498391554,-0.254010532850399,0.001862361640297
CAX,Ppti,Y,12775,26881.2878075119,1204.77184427119,4.35996193672048,-0.249649805687172,0.001862361640297
CAX,Ppti,Y,13140,26922.4566311431,1204.38148462469,4.37117242254899,-0.245328630223196,0.001862361640297
CAX,Ppti,Y,13505,26963.5832603173,1203.99423648222,4.38213165545111,-0.240961791603702,0.001862361640297
CAX,Ppti,Y,13870,27004.4357224451,1203.6125530762,4.3923841279646,-0.236703143174412,0.001862361640297
CAX,Ppti,Y,14235,27044.9281570121,1203.23681975252,4.40210503108252,-0.232527456482371,0.001862361640297
CAX,Ppti,Y,14600,27085.0465534119,1202.86636000264,4.4114866754681,-0.228425366898895,0.001862361640297
CAX,Ppti,Y,14965,27124.7798844435,1202.5008863776,4.42046338323005,-0.224404279620004,0.001862361640297
CAX,Ppti,Y,15330,27164.0543908682,1202.14194410186,4.42858074318473,-0.220726821384192,0.001862361640297
CAX,Ppti,Y,15695,27202.6925681903,1201.79299913889,4.43553843788722,-0.217574560375159,0.001862361640297
CAX,Ppti,Y,16060,27240.6045814633,1201.45381101946,4.44233197757295,-0.214378284956266,0.001862361640297
CAX,Ppti,Y,16425,27277.8539910926,1201.12264113424,4.44877092299166,-0.211258251065167,0.001862361640297
CAX,Ppti,Y,16790,27314.4619384369,1200.79815522116,4.45494224343574,-0.208187587459617,0.001862361640297
CAX,Ppti,Y,17155,27350.4626767168,1200.47900756357,4.46088989937479,-0.205167930308653,0.001862361640297
CAX,Ppti,Y,17520,27385.9286257961,1200.16396289868,4.4666399237428,-0.202159920035214,0.001862361640297
CAX,Ppti,Y,17885,27420.8587579189,1199.85258451061,4.47227705892411,-0.199105383972103,0.001862361640297
CAX,Ppti,Y,18250,27455.1810082111,1199.54534908294,4.4776699540682,-0.196049119783578,0.001862361640297
CAX,Ppti,Y,18615,27488.8476922605,1199.24256282066,4.48270445962684,-0.193060959574236,0.001862361640297
CAX,Ppti,Y,18980,27521.8847473121,1198.94395857007,4.48742116924041,-0.190141356459466,0.001862361640297
CAX,Ppti,Y,19345,27554.3052819186,1198.64921049418,4.49191409231231,-0.187270852230321,0.001862361640297
CAX,Ppti,Y,19710,27586.1428288378,1198.35758042364,4.49630339730143,-0.18445738162279,0.001862361640297
CAX,Ppti,Y,20075,27617.4210473808,1198.06900258492,4.50049571106272,-0.181697506615642,0.001862361640297
CAX,Ppti,Y,20440,27648.1638496348,1197.78289062928,4.50461972472055,-0.1789787625757,0.001862361640297
CAX,Ppti,Y,20805,27678.4027325711,1197.49895096755,4.50863660931099,-0.176288457950513,0.001862361640297
CAX,Ppti,Y,21170,27708.1587671234,1197.21695632959,4.51253697842331,-0.173641915067824,0.001862361640297
CAX,Ppti,Y,21535,27737.4496074382,1196.93681595947,4.51632450274368,-0.171039917638658,0.001862361640297
CAX,Ppti,Y,21900,27766.2860139292,1196.65863470219,4.51997020231933,-0.168477413286154,0.001862361640297
CAX,Ppti,Y,22265,27794.6837847979,1196.38228327303,4.52352703290366,-0.165956119905549,0.001862361640297
CAX,Ppti,Y,22630,27822.6533000664,1196.10797771457,4.52693368537473,-0.163477054719996,0.001862361640297
CAX,Ppti,Y,22995,27850.2064716366,1195.83556586884,4.53027196648163,-0.16103724575476,0.001862361640297
CAX,Ppti,Y,23360,27877.3531898011,1195.56535912466,4.53345079257696,-0.158639717211486,0.001862361640297
CAX,Ppti,Y,23725,27904.1020286575,1195.29718675156,4.53657247736335,-0.156280533253187,0.001862361640297
CAX,Ppti,Y,24090,27930.467205407,1195.03120495705,4.53957482968502,-0.153964897095657,0.001862361640297
CAX,Ppti,Y,24455,27956.4551298913,1194.76744557884,4.54248950235658,-0.151684703738953,0.001862361640297
CAX,Ppti,Y,24820,27982.0774997678,1194.50590639051,4.54531465807852,-0.14944742251915,0.001862361640297
CAX,Ppti,Y,25185,28007.3420004393,1194.24677460197,4.5480196464548,-0.147248820887391,0.001862361640297
CAX,Ppti,Y,25550,28032.2572876717,1193.98991357831,4.55066793226008,-0.145084406631282,0.001862361640297
